HtScaffold0001:17064-17571(-)	31.5	51.2	51.2	58.8	100.0	58.2	74.1	51.2	61.0	62.9	55.9	58.6	51.2	56.0	56.3	67.6	51.7		76.4
HtScaffold0001:19686-22557(-)	31.3	50.0	49.9	100.0	100.0	81.8	95.8	64.5	78.0	88.2	75.2	61.4	49.9	98.9	81.0	84.8	51.2		95.2
HtScaffold0001:48554-49421(+)	30.6	100.0	100.0	78.6	90.5	96.7	95.4	95.1	59.1	100.0	56.0	99.5	99.4	74.0	100.0	58.9	100.0		97.3
HtScaffold0001:50661-51384(-)	35.1	48.4	48.4	94.1	99.3	99.6	100.0	50.0	88.5	100.0	87.5	58.2	48.9	81.0	75.0	92.5	48.1		95.2
HtScaffold0001:51700-52636(-)	35.0	38.6	38.6	100.0	98.5	89.5	86.5	78.8	86.4	95.1	96.3	42.9	39.3	100.0	100.0	89.3	38.8		100.0
HtScaffold0001:55492-55784(-)	32.1	50.6	50.6	92.6	100.0	88.9	100.0	46.3	85.2	94.0	98.2	50.3	50.3	100.0	100.0	92.1	48.7		94.6
HtScaffold0001:56272-56400(-)	27.3	56.2	56.2	100.0	69.2	94.2	85.7	96.8	93.3	100.0	95.1	56.5	56.2	94.5	94.5	96.0	56.2		93.3
HtScaffold0001:56774-56843(-)	44.9	46.3	46.3	83.6	92.1	100.0	100.0	94.2	82.9	84.3	76.7	98.9	44.9	97.1	97.2	98.6	46.3		99.2
HtScaffold0001:60361-60457(+)	42.7	100.0	100.0	100.0	67.8	80.8	100.0	93.5	86.4	100.0	93.9	99.2	98.9	83.1	84.2	93.7	95.5		84.0
HtScaffold0001:60761-60899(+)	45.6	100.0	100.0	78.2	100.0	93.6	100.0	92.8	87.8	100.0	98.6	99.2	99.2	82.8	84.6	88.3	96.6		88.5
HtScaffold0001:61067-63287(+)	33.3	100.0	100.0	95.9	74.7	100.0	45.9	77.2	94.2	100.0	73.4	98.9	99.4	86.8	84.3	92.0	99.3		99.2
HtScaffold0001:67143-68859(+)	34.9	100.0	100.0	99.4	96.9	90.9	100.0	53.1	87.3	98.3	92.6	62.1	99.1	93.1	100.0	0	99.8		83.7
HtScaffold0001:70636-72302(-)	32.5	49.2	49.2	85.7	100.0	70.1	69.7	82.9	85.5	100.0	95.4	81.4	49.2	43.6	79.1	0	50.3		55.9
